"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14825_003","3.85","4","3","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14825_003","2.88","5","3","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14825_004","-7","4","3","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14825_004","-7","5","3","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14825_005","-10.00","4","3","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14825_005","-10.00","5","3","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14825_008","8.20","4","3","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14825_008","6.72","5","3","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14825_009","2.47","4","3","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14825_009","1.80","5","3","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14825_047","0.90","4","3","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14825_047","0.90","5","3","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14825_010","4.95","4","3","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14825_010","4.34","5","3","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14825_011","3.61","4","3","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14825_011","2.92","5","3","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14825_048","0.90","4","3","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14825_048","0.90","5","3","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14825_012","3.23","4","3","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14825_012","2.78","5","3","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14825_013","5.70","4","3","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14825_013","4.09","5","3","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14825_049","0.90","4","3","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14825_049","0.90","5","3","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14825_014","2.51","4","3","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14825_014","2.40","5","3","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14825_015","8.98","4","3","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14825_015","5.84","5","3","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14825_050","0.90","4","3","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14825_050","0.90","5","3","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14825_016","8.20","4","3","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14825_016","6.72","5","3","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14825_017","2.47","4","3","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14825_017","1.80","5","3","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14825_018","7.68","4","3","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14825_018","7.36","5","3","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14825_019","2.45","4","3","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14825_019","1.61","5","3","0","2","0"
