"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_009","2.76","4","3","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_009","1.79","5","3","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_047","0.9","4","3","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_047","0.9","5","3","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_010","6.38","4","3","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_010","6.22","5","3","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_011","3.53","4","3","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_011","2.91","5","3","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_048","0.9","4","3","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_048","0.9","5","3","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_012","3.83","4","3","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_012","4.14","5","3","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_013","6.06","4","3","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_013","4.45","5","3","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_049","0.9","4","3","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_049","0.9","5","3","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_014","2.93","4","3","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_014","2.56","5","3","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_015","9.08","4","3","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_015","6.23","5","3","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_050","0.9","4","3","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_050","0.9","5","3","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_016","9.32","4","3","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_016","9.22","5","3","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_017","2.76","4","3","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_017","1.79","5","3","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_018","7.82","4","3","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_018","8.15","5","3","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_019","2.4","4","3","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_019","1.72","5","3","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_022","60","4","3","0","2","0"
