variant_key,file,total_points,-15C,-7C,+2C,+7C,+12C,TOL
Advantix_S_p_A__i-32V5_06_08_A_Outdoor_Air_Water_10::i-32V5SL/KA 08 A,Advantix_S_p_A__i-32V5_06_08_A_Outdoor_Air_Water_10.json,10,0,2,2,2,2,2
Advantix_S_p_A__i-32V5_06_08_A_Outdoor_Air_Water_10::i-32V5SL08 A,Advantix_S_p_A__i-32V5_06_08_A_Outdoor_Air_Water_10.json,10,0,2,2,2,2,2
Advantix_S_p_A__i-32V5_06_08_Outdoor_Air_Water_9::i-32V5/KA/06,Advantix_S_p_A__i-32V5_06_08_Outdoor_Air_Water_9.json,8,0,2,2,2,2,0
Advantix_S_p_A__i-32V5_06_08_Outdoor_Air_Water_9::i-32V5/KA/08,Advantix_S_p_A__i-32V5_06_08_Outdoor_Air_Water_9.json,8,0,2,2,2,2,0
Advantix_S_p_A__i-32V5_06_08_Outdoor_Air_Water_9::i-32V506,Advantix_S_p_A__i-32V5_06_08_Outdoor_Air_Water_9.json,8,0,2,2,2,2,0
Advantix_S_p_A__i-32V5_06_08_Outdoor_Air_Water_9::i-32V508,Advantix_S_p_A__i-32V5_06_08_Outdoor_Air_Water_9.json,8,0,2,2,2,2,0
Advantix_S_p_A__i-32V5_06_08_Outdoor_Air_Water_9::i-32V5SL/KA 08,Advantix_S_p_A__i-32V5_06_08_Outdoor_Air_Water_9.json,8,0,2,2,2,2,0
Advantix_S_p_A__i-32V5_06_08_Outdoor_Air_Water_9::i-32V5SL08,Advantix_S_p_A__i-32V5_06_08_Outdoor_Air_Water_9.json,8,0,2,2,2,2,0
Advantix_S_p_A__i-32V5_16_18_Outdoor_Air_Water_11::i-32V5/KA/16,Advantix_S_p_A__i-32V5_16_18_Outdoor_Air_Water_11.json,10,0,2,2,2,2,2
Advantix_S_p_A__i-32V5_16_18_Outdoor_Air_Water_11::i-32V5/KA/16T,Advantix_S_p_A__i-32V5_16_18_Outdoor_Air_Water_11.json,10,0,2,2,2,2,2
Advantix_S_p_A__i-32V5_16_18_Outdoor_Air_Water_11::i-32V5/KA/18T,Advantix_S_p_A__i-32V5_16_18_Outdoor_Air_Water_11.json,10,0,2,2,2,2,2
Advantix_S_p_A__i-32V5_16_18_Outdoor_Air_Water_11::i-32V516,Advantix_S_p_A__i-32V5_16_18_Outdoor_Air_Water_11.json,10,0,2,2,2,2,2
Advantix_S_p_A__i-32V5_16_18_Outdoor_Air_Water_11::i-32V516T,Advantix_S_p_A__i-32V5_16_18_Outdoor_Air_Water_11.json,10,0,2,2,2,2,2
Advantix_S_p_A__i-32V5_16_18_Outdoor_Air_Water_11::i-32V518T,Advantix_S_p_A__i-32V5_16_18_Outdoor_Air_Water_11.json,10,0,2,2,2,2,2
Advantix_S_p_A__i-32V5_16_18_Outdoor_Air_Water_11::i-32V5SL/KA 16,Advantix_S_p_A__i-32V5_16_18_Outdoor_Air_Water_11.json,10,0,2,2,2,2,2
Advantix_S_p_A__i-32V5_16_18_Outdoor_Air_Water_11::i-32V5SL/KA 16T,Advantix_S_p_A__i-32V5_16_18_Outdoor_Air_Water_11.json,10,0,2,2,2,2,2
Advantix_S_p_A__i-32V5_16_18_Outdoor_Air_Water_11::i-32V5SL16,Advantix_S_p_A__i-32V5_16_18_Outdoor_Air_Water_11.json,10,0,2,2,2,2,2
Advantix_S_p_A__i-32V5_16_18_Outdoor_Air_Water_11::i-32V5SL16T,Advantix_S_p_A__i-32V5_16_18_Outdoor_Air_Water_11.json,10,0,2,2,2,2,2
Advantix_S_p_A__i-HPV5H_0140_Outdoor_Air_Water_15::i-HPV5H 0140,Advantix_S_p_A__i-HPV5H_0140_Outdoor_Air_Water_15.json,10,0,2,2,2,2,2
Advantix_S_p_A__i-HPV5H_0250_Outdoor_Air_Water_16::i-HPV5H 0250,Advantix_S_p_A__i-HPV5H_0250_Outdoor_Air_Water_16.json,10,0,2,2,2,2,2
Advantix_S_p_A__i-HPV5H_0260_Outdoor_Air_Water_17::i-HPV5H 0260,Advantix_S_p_A__i-HPV5H_0260_Outdoor_Air_Water_17.json,10,0,2,2,2,2,2
Advantix_S_p_A__i-HPV5H_0270_Outdoor_Air_Water_18::i-HPV5H 0270,Advantix_S_p_A__i-HPV5H_0270_Outdoor_Air_Water_18.json,10,0,2,2,2,2,2
"Aira_Group_AB_Air_to_Water_Heat_Pump-_R290-_12kW-C-250L_Outdoor_Air_Water_2::Indoor unit HPI-AO-250-1.0, Outdoor unit HPO-AW-12-230V-1.0",Aira_Group_AB_Air_to_Water_Heat_Pump-_R290-_12kW-C-250L_Outdoor_Air_Water_2.json,10,0,2,2,2,2,2
"Aira_Group_AB_Air_to_Water_Heat_Pump-_R290-_12kW-C-250L_Outdoor_Air_Water_2::Indoor unit: HPI-AO-250-1.0, Outdoor unit: HPO-AW-12-400V-1.0",Aira_Group_AB_Air_to_Water_Heat_Pump-_R290-_12kW-C-250L_Outdoor_Air_Water_2.json,10,0,2,2,2,2,2
Aira_Group_AB_Air_to_Water_Heat_Pump-_R290-_12kW_Outdoor_Air_Water_1::HPO-AW-12-230V-1.0,Aira_Group_AB_Air_to_Water_Heat_Pump-_R290-_12kW_Outdoor_Air_Water_1.json,10,0,2,2,2,2,2
Aira_Group_AB_Air_to_Water_Heat_Pump-_R290-_12kW_Outdoor_Air_Water_1::HPO-AW-12-400V-1.0,Aira_Group_AB_Air_to_Water_Heat_Pump-_R290-_12kW_Outdoor_Air_Water_1.json,10,0,2,2,2,2,2
"Aira_Group_AB_Air_to_Water_Heat_Pump-_R290-_6kW-C-100L_Outdoor_Air_Water_4::Indoor unit: HPI-AO-100-1.0, Outdoor unit: HPO-AW-6-230V-1.0",Aira_Group_AB_Air_to_Water_Heat_Pump-_R290-_6kW-C-100L_Outdoor_Air_Water_4.json,10,0,2,2,2,2,2
"Aira_Group_AB_Air_to_Water_Heat_Pump-_R290-_6kW-C-250L_Outdoor_Air_Water_5::Indoor unit: HPI-AO-250-1.0, Outdoor unit: HPO-AW-6-230V-1.0",Aira_Group_AB_Air_to_Water_Heat_Pump-_R290-_6kW-C-250L_Outdoor_Air_Water_5.json,10,0,2,2,2,2,2
Aira_Group_AB_Air_to_Water_Heat_Pump-_R290-_6kW_Outdoor_Air_Water_3::HPO-AW-6-230V-1.0,Aira_Group_AB_Air_to_Water_Heat_Pump-_R290-_6kW_Outdoor_Air_Water_3.json,10,0,2,2,2,2,2
"Aira_Group_AB_Air_to_Water_Heat_Pump-_R290-_8kW-C-100L_Outdoor_Air_Water_7::Indoor unit: HPI-AO-100-1.0, Outdoor unit: HPO-AW-8-230V-1.0",Aira_Group_AB_Air_to_Water_Heat_Pump-_R290-_8kW-C-100L_Outdoor_Air_Water_7.json,10,0,2,2,2,2,2
"Aira_Group_AB_Air_to_Water_Heat_Pump-_R290-_8kW-C-250L_Outdoor_Air_Water_8::Indoor unit: HPI-AO-250-1.0, Outdoor unit: HPO-AW-8-230V-1.0",Aira_Group_AB_Air_to_Water_Heat_Pump-_R290-_8kW-C-250L_Outdoor_Air_Water_8.json,10,0,2,2,2,2,2
Aira_Group_AB_Air_to_Water_Heat_Pump-_R290-_8kW_Outdoor_Air_Water_6::HPO-AW-8-230V-1.0,Aira_Group_AB_Air_to_Water_Heat_Pump-_R290-_8kW_Outdoor_Air_Water_6.json,10,0,2,2,2,2,2
Airwell_Residential_S_A_S__WELLEA_MONOBLOC_12_14_16_KW_1ph_Outdoor_Air_Water_13::WELLEA MONOBLOC 12 KW 1PH,Airwell_Residential_S_A_S__WELLEA_MONOBLOC_12_14_16_KW_1ph_Outdoor_Air_Water_13.json,8,0,2,2,2,2,0
Airwell_Residential_S_A_S__WELLEA_MONOBLOC_12_14_16_KW_1ph_Outdoor_Air_Water_13::WELLEA MONOBLOC 14 KW 1PH,Airwell_Residential_S_A_S__WELLEA_MONOBLOC_12_14_16_KW_1ph_Outdoor_Air_Water_13.json,8,0,2,2,2,2,0
Airwell_Residential_S_A_S__WELLEA_MONOBLOC_12_14_16_KW_1ph_Outdoor_Air_Water_13::WELLEA MONOBLOC 16 KW 1PH,Airwell_Residential_S_A_S__WELLEA_MONOBLOC_12_14_16_KW_1ph_Outdoor_Air_Water_13.json,8,0,2,2,2,2,0
Airwell_Residential_S_A_S__WELLEA_MONOBLOC_12_14_16_KW_3ph_Outdoor_Air_Water_14::WELLEA MONOBLOC 12 KW 3PH,Airwell_Residential_S_A_S__WELLEA_MONOBLOC_12_14_16_KW_3ph_Outdoor_Air_Water_14.json,8,0,2,2,2,2,0
Airwell_Residential_S_A_S__WELLEA_MONOBLOC_12_14_16_KW_3ph_Outdoor_Air_Water_14::WELLEA MONOBLOC 14 KW 3PH,Airwell_Residential_S_A_S__WELLEA_MONOBLOC_12_14_16_KW_3ph_Outdoor_Air_Water_14.json,8,0,2,2,2,2,0
Airwell_Residential_S_A_S__WELLEA_MONOBLOC_12_14_16_KW_3ph_Outdoor_Air_Water_14::WELLEA MONOBLOC 16KW 3PH,Airwell_Residential_S_A_S__WELLEA_MONOBLOC_12_14_16_KW_3ph_Outdoor_Air_Water_14.json,8,0,2,2,2,2,0
